hypothesis,sentence,type,conflict,features,prediction
"define intent hypIntent: for group('labs') set bandwidth('max', '70', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set bandwidth('max', '70', 'mbps')",path,1,"[5, 0, 1440, 0, 0, 0, 0.0, 0, 0.0, 0, 0, 0, 1.0, 1.0]",0
"define intent hypIntent: for group('servers') set quota('upload', '2', 'gb/wk')","define intent stnIntent: for group('servers') set quota('any', '8', 'gb/wk')",qos,1,"[5, 0, 1440, 0, 1, 0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0.9621180994379885]",0
define intent hypIntent: for group('labs') block service('listserver') protocol('POP3') start hour('8:41') end hour('18:56'),"define intent stnIntent: for group('labs') allow service('email'), service('MSN audio') start hour('9:34') end hour('18:56')",time,1,"[5, 1, 10.366666666666667, 1, 1, 0, 1.0, 0.47891371857045767, 1.0, 0, 0, 0, 1.0, 1.0]",1
define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.11') remove middlebox('parental control'),define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('unit firewall'),hierarchical,0,"[5, 1, 1440, 1, 0, 1, 0.7858449644624775, 0, 1.0, 0, 0, 0, 1.0, 1.0]",0
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.70') remove middlebox('copyright monitoring'), middlebox('firewall'), middlebox('ips')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') remove middlebox('firewall'), middlebox('load balancer'), middlebox('unit firewall')",hierarchical,0,"[5, 1, 1440, 0, 0, 1, 0.5597656222918455, 0, 1.0, 0, 0, 0, 1.0, 1.0]",1
define intent hypIntent: for group('guest users') block service('stremio') traffic('video conference'),define intent stnIntent: for group('guests') block service('AIM chat') protocol('ssh'),synonym,0,"[5, 1, 1440, 0, 1, 0, 1.0, 0.5210870076616885, 0.4746275352184375, 0, 0, 0, 1.0, 1.0]",0
"define intent hypIntent: for group('hall') set quota('any', '9', 'gb/wk')","define intent stnIntent: for group('dorms') set quota('upload', '8', 'gb/wk')",synonym,1,"[5, 0, 1440, 0, 1, 0, 1.0, 0, 0.25868322601258575, 0, 0, 0, 1.0, 0.9637693300650022]",0
"define intent hypIntent: for group('dorms') block service('MSN video'), service('popcorn time') traffic('torrent'), traffic('email') protocol('scp'), protocol('nat'), protocol('IMAP')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.62') allow service('irc'), service('Net2Phone'), service('Sony Playstation 2') traffic('email') protocol('udp'), protocol('ftp'), protocol('telnet')",path,0,"[2, 1, 1440, 1, 1, 0, 0.0, 0.29457715220385683, 0.0, 1.0, 0.4173918065347699, 0, 1.0, 1.0]",1
define intent hypIntent: for group('students') block traffic('file sharing') protocol('tcp'),define intent stnIntent: for group('students') allow service('listserver') protocol('quic'),negation,1,"[5, 1, 1440, 1, 1, 0, 1.0, 0, 1.0, 0, 0.4938353267423231, 0, 1.0, 1.0]",1
define intent hypIntent: for group('students') block service('H323 video conferencing') traffic('video conference'),"define intent stnIntent: for group('students') block service('facebook'), service('CounterStrike')",negation,0,"[5, 1, 1440, 0, 1, 0, 1.0, 0.4715163876731159, 1.0, 0, 0, 0, 1.0, 1.0]",1
"define intent hypIntent: for group('labs') block service('vimeo'), service('Battlenet'), service('email'), service('netflix'), service('CounterStrike'), service('facebook') traffic('file sharing') protocol('ftp') start hour('13:57') end hour('18:43')","define intent stnIntent: for group('labs') allow service('CounterStrike'), service('MSN audio') traffic('file sharing') protocol('dns'), protocol('tcp'), protocol('http'), protocol('quic') start hour('7:26') end hour('11:55')",time,0,"[5, 1, 0, 1, 1, 0, 1.0, 0.5125799425681061, 1.0, 1.0, 0.4835201265438319, 0, 1.0, 1.0]",0
"define intent hypIntent: for group('students') block service('MSN chat'), service('amazon prime video'), service('Sorenson Videophone 200'), service('listserver') traffic('voip'), traffic('streaming'), traffic('gaming'), traffic('file sharing') protocol('secure POP'), protocol('ftp'), protocol('secure IMAP'), protocol('tcp')","define intent stnIntent: for group('students') allow service('Battlenet'), service('email'), service('Everquest'), service('facebook'), service('H323 video conferencing'), service('file transfer'), service('MSN application sharing') traffic('streaming'), traffic('file sharing'), traffic('voip') protocol('snmp'), protocol('ftp')",path,1,"[5, 1, 1440, 1, 1, 0, 1.0, 0.31790212208674185, 1.0, 0.28491270578761574, 0.5637843698418132, 0, 1.0, 1.0]",1
"define intent hypIntent: for group('non registered users') remove middlebox('parental control'), middlebox('network border system'), middlebox('overuse notification')","define intent stnIntent: for group('guests') add middlebox('unit firewall'), middlebox('overuse notification'), middlebox('network border system')",synonym,1,"[5, 1, 1440, 1, 0, 0, 1.0, 0, 0.41019045671227505, 0, 0, 0, 1.0, 1.0]",1
"define intent hypIntent: for group('students') remove middlebox('copyright monitoring'), middlebox('traffics monitor') start hour('13:50') end hour('18:3')","define intent stnIntent: for group('students') add middlebox('ids'), middlebox('copyright monitoring') start hour('7:49') end hour('12:9')",time,0,"[5, 1, 0, 1, 1, 0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0]",0
define intent hypIntent: for group('guests') add middlebox('copyright monitoring'),"define intent stnIntent: for group('guests') remove middlebox('ips'), middlebox('overuse notification'), middlebox('traffics monitor')",negation,0,"[5, 1, 1440, 1, 1, 0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0]",1
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.22') set quota('upload', '3', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set quota('any', '2', 'gb/wk')",hierarchical,1,"[5, 0, 1440, 0, 0, 1, 0.6995930552576983, 0, 1.0, 0, 0, 0, 1.0, 0.9673059378257919]",1
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.96') set bandwidth('max', '90', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.88') set bandwidth('max', '90', 'mbps')",qos,1,"[5, 0, 1440, 0, 0, 0, 0.6945305619631426, 0, 1.0, 0, 0, 0, 1.0, 1.0]",1
"define intent hypIntent: for group('servers') block service('youtube'), service('Net2Phone') traffic('email'), traffic('torrent'), traffic('social media') protocol('IMAP')","define intent stnIntent: for group('servers') allow service('instagram') traffic('peer2peer'), traffic('file sharing'), traffic('streaming') protocol('sftp')",path,1,"[5, 1, 1440, 1, 1, 0, 1.0, 0.4890398464887393, 1.0, 0.5455285984842235, 0.28820165056986125, 0, 1.0, 1.0]",0
"define intent hypIntent: for group('dormitory') allow service('MSN audio'), service('irc') protocol('tcp'), protocol('ftp')","define intent stnIntent: for group('dorms') allow service('Net2Phone'), service('irc'), service('email')",synonym,0,"[5, 1, 1440, 0, 2, 0, 1.0, 0.37146313503906475, 0.3935372908539091, 0, 0, 0, 1.0, 1.0]",0
"define intent hypIntent: for group('guests') set bandwidth('max', '20', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.57') set bandwidth('min', '80', 'mbps')",negation,1,"[5, 0, 1440, 0, 0, 0, 0.0, 0, 0.0, 0, 0, 0, 0.9668968023936985, 1.0]",1
"define intent hypIntent: for group('dorms') set quota('any', '6', 'gb/wk') start hour('14:1') end hour('18:57')","define intent stnIntent: for group('dorms') set quota('upload', '4', 'gb/wk') start hour('6:48') end hour('12:13')",time,0,"[5, 0, 0, 0, 1, 0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0.9662229102697196]",0
