hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: for group('dorms') remove middlebox('parental-control'), middlebox('ids'), middlebox('dpi') block service('netflix'), service('bittorrent') start timestamp('2019-01-25 22:52:00.889187') end timestamp('2019-01-26 03:25:00.889192')","define intent stnIntent: for group('dorms') add middlebox('firewall') allow service('vimeo'), service('bittorrent') start timestamp('2019-01-25 16:54:00.889161') end timestamp('2019-01-25 21:32:00.889178')",time,0,0,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0.6819427859876516, 1, 2, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.14.61') remove middlebox('firewall'), middlebox('parental-control'), middlebox('load-balancer') set quota('8', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.14.60') remove middlebox('ids'), middlebox('load-balancer') set bandwidth('min', '30', 'mbps')",hierarchical,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.21.87') remove middlebox('ids'), middlebox('firewall'), middlebox('parental-control') set quota('2', 'gb/wk') block protocol('sftp'), traffic('streaming')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.21.82') add middlebox('firewall'), middlebox('dpi'), middlebox('load-balancer'), middlebox('ids') set quota('1', 'gb/wk') allow service('amazon-prime'), service('netflix')",hierarchical,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 2, 1, 0, 1, 5]"
"define intent hypIntent: for group('students') remove middlebox('parental-control'), middlebox('dpi'), middlebox('load-balancer') set quota('8', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.11') add middlebox('ids'), middlebox('firewall') set quota('8', 'gb/wk')",negation,0,1,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 1, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.126') add middlebox('ids') set bandwidth('max', '80', 'mbps') allow protocol('sftp'), protocol('telnet')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.117') remove middlebox('firewall') set quota('9', 'gb/wk') block service('amazon-prime'), traffic('streaming')",negation,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 2, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.44') remove middlebox('dpi'), middlebox('load-balancer'), middlebox('ids') set quota('2', 'gb/wk') block protocol('https'), protocol('udp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.37') add middlebox('ids'), middlebox('dpi'), middlebox('firewall'), middlebox('parental-control') set quota('5', 'gb/wk') allow service('amazon-prime'), traffic('peer2peer')",hierarchical,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 2, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.113') set bandwidth('min', '90', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.108') set bandwidth('min', '50', 'mbps')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.152') remove middlebox('firewall'), middlebox('ids'), middlebox('dpi'), middlebox('load-balancer') block traffic('torrent'), traffic('social-media')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.34.151') add middlebox('load-balancer') allow protocol('ftp'), service('bittorrent')",hierarchical,1,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 2, 1, 0, 1, 5]"
"define intent hypIntent: for group('residence_hall') remove middlebox('load-balancer'), middlebox('ids'), middlebox('dpi'), middlebox('firewall'), middlebox('parental-control') set quota('3', 'gb/wk') block service('vimeo'), service('popcorn-time')","define intent stnIntent: for group('dorms') add middlebox('ids') set quota('2', 'gb/wk') allow traffic('peer2peer'), service('popcorn-time')",synonym,1,1,"[1.0, 1.0, 1.0, 0.32653927268206306, 0, 0, 0.10537209537394576, 0, 2, 1, 2, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('parental-control'), middlebox('load-balancer'), middlebox('firewall'), middlebox('ids') block service('netflix'), traffic('streaming')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.37') add middlebox('ids'), middlebox('parental-control'), middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall') allow service('vimeo'), service('instagram')",negation,1,0,"[0.0, 0.0, 0.7251786007554776, 0.0, 0, 0, 0.30894633570391095, 1, 2, 1, 0, 0, 5]"
