university,sentence text,hypothesis text,sentence nile,hypothesis nile,type,conflict,features,prediction
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","Currently, the University of Illinois does not have any rate limits",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') unset bandwidth(),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",University Housing monitors only the amount of traffic of each user,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),negation,0,"[3, 1, 1440.0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.7560728174709371, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",CounterStrike server is blocked by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",AIM chat and file transfering is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Battlenet is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",H323 video conferencing is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Everquest is blocked by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",HTTP and HTTPS are allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",IMAP and secure IMAP are allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","MSN audio and video communications are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked",define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 5, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Net2Phone is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",PC-Telephone is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",POP3 and secure POP are allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",SMTP is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SMTP'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Sony Playstation 2 is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sony Playstation 2'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",SSH is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SSH'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Telnet is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('Telnet'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Sorenson Videophone 200 is allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sorenson Videophone 200'),negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",FTP and SFTP servers are allowed by the University firewall,define intent uniIntent: add middlebox('copyright monitoring') for group('students'),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('ftp'), protocol('sftp')",negation,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0.43297030489799754, 2]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",University Housing monitors only the amount of traffic of each user,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),path,0,"[2, 1, 1440.0, 0, 0, 1, 0, 0.5473502110802286, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",AIM chat and file transfering is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')",path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('university') unset bandwidth(),define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest'),path,0,"[2, 1, 1440.0, 0, 1, 0, 0, 1.0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0
