hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: for service('facebook'), service('youtube'), group('servers') add middlebox('firewall'), middlebox('load-balancer') set quota('upload', '1', 'gb/wk') start hour('20:31') end hour('5:32')","define intent stnIntent: for traffic('peer2peer'), group('servers') add middlebox('firewall'), middlebox('load-balancer'), middlebox('parental-control') set quota('upload', '4', 'gb/wk') start hour('20:7') end hour('4:39')",time,1,1,"[4, 0, 0, 0, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for service('amazon-prime'), service('youtube'), group('guests') add middlebox('dpi') set bandwidth('max', '40', 'mbps')","define intent stnIntent: for traffic('streaming'), protocol('icmp'), group('guests') add middlebox('ids'), middlebox('parental-control'), middlebox('dpi') set quota('upload', '1', 'gb/wk')",negation,0,0,"[4, 1, 1440, 0, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13') set quota('download', '9', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.11') set bandwidth('max', '20', 'mbps')",qos,0,0,"[5, 1, 1440, 0, 0, 0, 0.5604221148110531, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for traffic('peer2peer'), traffic('streaming'), group('scholarly_person') add middlebox('dpi') set quota('download', '7', 'gb/wk')","define intent stnIntent: for traffic('social-media'), service('stremio'), group('students') add middlebox('load-balancer'), middlebox('ids'), middlebox('firewall'), middlebox('dpi') set quota('download', '8', 'gb/wk')",synonym,1,1,"[6, 0, 1440, 0, 2, 0, 1.0, 0, 0.29637977199899607, 0.44733669896031675, 0, 0]"
"define intent hypIntent: for group('students') set bandwidth('min', '90', 'mbps')","define intent stnIntent: for group('students') set bandwidth('max', '10', 'mbps')",qos,0,1,"[5, 0, 1440, 0, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('professors') add middlebox('load-balancer') set quota('download', '3', 'gb/wk')","define intent stnIntent: for group('professors') add middlebox('parental-control'), middlebox('ids'), middlebox('dpi') set bandwidth('min', '20', 'mbps')",negation,0,0,"[5, 1, 1440, 0, 2, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.12.58') add middlebox('load-balancer') set bandwidth('min', '20', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.12.54') add middlebox('parental-control'), middlebox('load-balancer') set bandwidth('min', '60', 'mbps')",hierarchical,0,0,"[5, 1, 1440, 0, 0, 1, 0.7405701918255715, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for service('instagram'), traffic('peer2peer'), group('servers') add middlebox('ids'), middlebox('dpi'), middlebox('firewall'), middlebox('parental-control') start hour('23:41') end hour('5:33')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') for protocol('quic'), traffic('peer2peer') add middlebox('parental-control'), middlebox('ids') start hour('18:5') end hour('22:51')",time,0,1,"[5, 1, 0, 0, 0, 0, 0.0, 0, 0.0, 1.0, 0, 0]"
"define intent hypIntent: for traffic('torrent'), traffic('social-media'), group('professors') add middlebox('firewall') set bandwidth('min', '60', 'mbps')","define intent stnIntent: for service('bittorrent'), service('popcorn-time'), group('professors') add middlebox('firewall'), middlebox('load-balancer') set bandwidth('min', '70', 'mbps')",path,0,0,"[4, 1, 1440, 0, 2, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for protocol('quic'), service('youtube'), group('servers') add middlebox('ids') set bandwidth('min', '40', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') for protocol('smtp'), traffic('streaming') add middlebox('parental-control'), middlebox('ids'), middlebox('firewall') set bandwidth('max', '90', 'mbps')",path,0,0,"[4, 0, 1440, 0, 0, 0, 0.0, 0, 0.0, 0, 0.6359738600096945, 0]"
"define intent hypIntent: for group('guests') set quota('download', '7', 'gb/wk')","define intent stnIntent: for group('guests') set quota('download', '9', 'gb/wk')",qos,1,1,"[5, 0, 1440, 0, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.197') for protocol('http'), service('netflix') set bandwidth('min', '60', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.188') for service('facebook'), service('netflix') set bandwidth('min', '80', 'mbps')",hierarchical,1,1,"[5, 0, 1440, 0, 0, 1, 0.778826485369058, 1.0, 1.0, 0, 0, 0]"
"define intent hypIntent: for service('instagram'), service('youtube'), group('professors') set bandwidth('max', '70', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') for service('instagram'), service('popcorn-time') set bandwidth('max', '70', 'mbps')",path,0,1,"[5, 0, 1440, 0, 0, 0, 0.0, 0.32939547455351303, 0.0, 0, 0, 0]"
"define intent hypIntent: for group('professors') set bandwidth('max', '60', 'mbps')","define intent stnIntent: for group('professors') set bandwidth('min', '30', 'mbps')",qos,1,1,"[5, 0, 1440, 0, 2, 0, 1.0, 0, 1.0, 0, 0, 0]"
