hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.10') set bandwidth('max', '60', 'mbps') block traffic('peer2peer'), traffic('streaming')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set bandwidth('max', '70', 'mbps') allow traffic('peer2peer'), service('youtube')",hierarchical,1,0,"[1.0, 1.0, 0, 1.0, 0.4855904475742499, 0, 0, 1, 1, 1, 0, 1, 5]"
"define intent hypIntent: for group('professors') set quota('4', 'gb/wk')","define intent stnIntent: for group('professors') set quota('3', 'gb/wk')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 1, 2, 0, 5]"
"define intent hypIntent: for group('staff') remove middlebox('load-balancer') set quota('1', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.102') add middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall'), middlebox('ids'), middlebox('parental-control') set quota('3', 'gb/wk')",domain,0,0,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 1, 0, 0, 0, 2]"
"define intent hypIntent: for group('students') unset quota('9', 'gb/wk')","define intent stnIntent: for group('students') unset bandwidth('max', '50', 'mbps')",qos,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 1, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.7') add middlebox('ids') allow service('youtube'), service('facebook') start timestamp('2019-01-25 21:53:22.115755') end timestamp('2019-01-26 02:50:22.115760')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13') remove middlebox('load-balancer'), middlebox('dpi') block traffic('peer2peer'), protocol('udp') start timestamp('2019-01-25 16:39:22.115729') end timestamp('2019-01-25 20:56:22.115748')",time,0,0,"[1.0, 1.0, 0, 1.0, 0, 0.04999999805555555, 0, 1, 2, 1, 0, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.12.50') set bandwidth('max', '40', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.12.49') set bandwidth('min', '70', 'mbps')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set bandwidth('min', '90', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.23') unset bandwidth('min', '10', 'mbps')",qos,0,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 1, 0, 0, 5]"
"define intent hypIntent: for group('dorms') remove middlebox('firewall'), middlebox('parental-control') set bandwidth('min', '80', 'mbps') block protocol('tcp'), protocol('udp')","define intent stnIntent: for group('dorms') add middlebox('load-balancer'), middlebox('ids'), middlebox('parental-control'), middlebox('dpi'), middlebox('firewall') set bandwidth('min', '90', 'mbps') allow service('amazon-prime'), protocol('telnet')",negation,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 2, 1, 1, 0, 5]"
"define intent hypIntent: for group('professors') set bandwidth('max', '20', 'mbps')","define intent stnIntent: for group('professors') set quota('9', 'gb/wk')",qos,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 2, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.108') set bandwidth('max', '60', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.24.110') set bandwidth('max', '10', 'mbps')",qos,1,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 0, 0, 5]"
