hypothesis,sentence,type,conflict,prediction,features
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.18') remove middlebox('parental-control'), middlebox('firewall'), middlebox('dpi'), middlebox('ids') block traffic('social-media'), traffic('streaming')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') add middlebox('firewall'), middlebox('dpi'), middlebox('ids'), middlebox('load-balancer') allow protocol('quic'), service('netflix')",hierarchical,1,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 2, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.166') remove middlebox('ids'), middlebox('dpi') block traffic('torrent'), traffic('social-media') start timestamp('2019-01-25 08:27:16.653348') end timestamp('2019-01-25 13:44:16.653352')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.167') add middlebox('parental-control'), middlebox('dpi'), middlebox('ids'), middlebox('firewall'), middlebox('load-balancer') allow traffic('torrent'), service('bittorrent') start timestamp('2019-01-25 02:30:16.653323') end timestamp('2019-01-25 08:10:16.653341')",time,0,1,"[1.0, 1.0, 0, 1.0, 0.424512941502927, 0.7166666647222222, 0, 1, 2, 1, 1, 0, 5]"
"define intent hypIntent: for group('students') remove middlebox('ids'), middlebox('dpi') set quota('2', 'gb/wk') block traffic('peer2peer'), traffic('torrent')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') add middlebox('ids'), middlebox('load-balancer'), middlebox('parental-control'), middlebox('firewall'), middlebox('dpi') set quota('4', 'gb/wk') allow service('amazon-prime'), service('popcorn-time')",domain,0,0,"[0.0, 0.0, 0, 0.0, 0, 0, 0, 0, 2, 1, 0, 0, 4]"
"define intent hypIntent: for group('scholarly_person') remove middlebox('dpi') set quota('2', 'gb/wk') block protocol('https'), service('popcorn-time')","define intent stnIntent: for group('students') add middlebox('load-balancer'), middlebox('dpi') set quota('3', 'gb/wk') allow service('vimeo'), protocol('tcp')",synonym,1,1,"[1.0, 1.0, 0.3886775606171168, 0.29637977199899607, 0, 0, 1.0, 0, 2, 1, 2, 0, 5]"
"define intent hypIntent: for group('professors') unset quota('9', 'gb/wk')","define intent stnIntent: for group('professors') set quota('4', 'gb/wk')",qos,1,1,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 1, 2, 0, 5]"
"define intent hypIntent: for group('staff') add middlebox('parental-control'), middlebox('load-balancer'), middlebox('dpi') set quota('2', 'gb/wk')","define intent stnIntent: for group('staff') add middlebox('firewall'), middlebox('ids'), middlebox('load-balancer') set bandwidth('max', '20', 'mbps')",negation,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1, 0, 1, 1, 0, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.105') remove middlebox('dpi'), middlebox('parental-control'), middlebox('ids') set quota('3', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.37') add middlebox('firewall'), middlebox('dpi') set quota('1', 'gb/wk')",non_coreferent,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 1, 0, 0, 0, 2]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.168') remove middlebox('parental-control'), middlebox('dpi'), middlebox('load-balancer'), middlebox('ids') block traffic('peer2peer'), protocol('icmp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.162') add middlebox('load-balancer'), middlebox('parental-control'), middlebox('firewall'), middlebox('dpi'), middlebox('ids') allow traffic('social-media'), service('popcorn-time')",hierarchical,1,1,"[1.0, 1.0, 0, 1.0, 0.4367431766106368, 0, 0, 1, 2, 1, 0, 1, 5]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.32.140') remove middlebox('dpi'), middlebox('load-balancer') set quota('6', 'gb/wk') block service('vimeo'), protocol('tcp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.27.127') add middlebox('parental-control'), middlebox('firewall'), middlebox('dpi'), middlebox('load-balancer'), middlebox('ids') set quota('7', 'gb/wk') allow traffic('social-media')",non_coreferent,0,0,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 2, 1, 0, 0, 3]"
"define intent hypIntent: for group('scholar') set bandwidth('min', '60', 'mbps') allow service('instagram'), service('facebook')","define intent stnIntent: for group('students') set quota('7', 'gb/wk') block traffic('peer2peer'), protocol('http')",synonym,0,0,"[1.0, 1.0, 0, 0.30505343803657853, 0, 0, 0, 1, 1, 1, 1, 0, 5]"
