dataset,model,k-fold,fit time,validation time,precision,recall,f1
100,svm,1,0.7443771362304688,0.0024750232696533203,0.6,0.6,0.6
100,svm,2,0.31366801261901855,0.002565145492553711,0.9166666666666667,0.9,0.898989898989899
100,svm,3,0.13326072692871094,0.007033109664916992,0.38095238095238093,0.4,0.375
100,svm,4,0.17389225959777832,0.0028810501098632812,0.6190476190476191,0.6000000000000001,0.5833333333333333
100,svm,5,0.1325829029083252,0.003804922103881836,0.8571428571428572,0.8,0.7916666666666665
100,svm,6,0.1105949878692627,0.0025420188903808594,0.8571428571428572,0.8,0.7916666666666665
100,svm,7,0.19074511528015137,0.002780914306640625,0.8125,0.7,0.6703296703296704
100,svm,8,1.2738707065582275,0.0033500194549560547,0.8125,0.7,0.6703296703296704
100,svm,9,0.20060014724731445,0.0024607181549072266,0.8571428571428572,0.8,0.7916666666666665
100,svm,10,0.1524028778076172,0.002964019775390625,0.8571428571428572,0.8,0.7916666666666665
100,log,1,0.04599595069885254,0.002542257308959961,0.8,0.8,0.8000000000000002
100,log,2,0.04386091232299805,0.002991914749145508,0.8,0.8,0.8000000000000002
100,log,3,0.053775787353515625,0.0067691802978515625,0.38095238095238093,0.4,0.375
100,log,4,0.03980112075805664,0.002768993377685547,0.7083333333333333,0.7,0.6969696969696968
100,log,5,0.032885074615478516,0.002360820770263672,0.7083333333333333,0.7,0.6969696969696968
100,log,6,0.038417816162109375,0.002598285675048828,0.9166666666666667,0.9,0.898989898989899
100,log,7,0.034436941146850586,0.002655029296875,0.8125,0.7,0.6703296703296704
100,log,8,0.046534061431884766,0.003242969512939453,0.8571428571428572,0.8,0.7916666666666665
100,log,9,0.029181957244873047,0.0028200149536132812,0.8571428571428572,0.8,0.7916666666666665
100,log,10,0.03159594535827637,0.00232696533203125,0.8571428571428572,0.8,0.7916666666666665
100,forest,1,0.01765298843383789,0.005257844924926758,1.0,1.0,1.0
100,forest,2,0.017552852630615234,0.006639957427978516,0.8571428571428572,0.8,0.7916666666666665
100,forest,3,0.027083158493041992,0.00506281852722168,0.6190476190476191,0.6000000000000001,0.5833333333333333
100,forest,4,0.019112110137939453,0.005115985870361328,0.6190476190476191,0.6000000000000001,0.5833333333333333
100,forest,5,0.021639108657836914,0.00548100471496582,0.6,0.6,0.6
100,forest,6,0.020864009857177734,0.010481834411621094,0.6190476190476191,0.6000000000000001,0.5833333333333333
100,forest,7,0.03058004379272461,0.005364179611206055,0.8,0.8,0.8000000000000002
100,forest,8,0.01361989974975586,0.005586862564086914,0.5,0.5,0.4505494505494506
100,forest,9,0.01537179946899414,0.007087230682373047,0.6,0.6,0.6
100,forest,10,0.013643026351928711,0.0054051876068115234,0.7083333333333333,0.7,0.6969696969696968
1000,svm,1,21.188984155654907,0.00612187385559082,0.8205128205128205,0.8200000000000001,0.8199279711884755
1000,svm,2,17.41469097137451,0.005975961685180664,0.7052545155993433,0.7,0.6980676328502415
1000,svm,3,18.423409938812256,0.006027936935424805,0.7727272727272727,0.77,0.7694235588972431
1000,svm,4,20.592228174209595,0.006082773208618164,0.8161974704202366,0.81,0.8090644156366193
1000,svm,5,29.098953008651733,0.009151935577392578,0.7910477719791249,0.79,0.7898108297467722
1000,svm,6,16.7256441116333,0.0064089298248291016,0.7840909090909092,0.78,0.779205138498595
1000,svm,7,13.363772869110107,0.007088184356689453,0.7901160464185675,0.79,0.78997899789979
