hypothesis,sentence,type,contradiction,prediction,features
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.14.68') remove middlebox('parental-control'), middlebox('ids'), middlebox('firewall'), middlebox('load-balancer') set quota('2', 'gb/wk') block traffic('peer2peer'), traffic('streaming')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.14.65') add middlebox('firewall') set quota('5', 'gb/wk') allow traffic('social-media'), service('bittorrent')",hierarchical,1,0,"[1, 5, 0, 0, 2, 0, 1, 0.7614114115648825, 0, 1.0, 0.44733669896031675, 0, 0]"
"define intent hypIntent: for group('professors') set bandwidth('min', '60', 'mbps')","define intent stnIntent: for group('professors') unset bandwidth('max', '30', 'mbps')",qos,1,0,"[1, 5, 1, 0, 1, 2, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('professors') set quota('3', 'gb/wk')","define intent stnIntent: for group('professors') set quota('3', 'gb/wk')",qos,0,0,"[1, 5, 0, 0, 0, 2, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: for group('dorms') remove middlebox('dpi'), middlebox('firewall') start hour('22:21') end hour('2:33')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.34') add middlebox('load-balancer'), middlebox('ids'), middlebox('firewall') start hour('15:59') end hour('21:32')",time,0,0,"[1, 5, 1, 0, 1, 0, 0, 0.0, 0, 0.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.21.87') remove middlebox('load-balancer'), middlebox('ids') set quota('9', 'gb/wk') block service('vimeo'), traffic('streaming') start hour('18:26') end hour('2:13')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.21.91') remove middlebox('parental-control'), middlebox('firewall'), middlebox('dpi'), middlebox('load-balancer') unset bandwidth('max', '80', 'mbps') allow service('vimeo'), service('facebook') start hour('17:22') end hour('2:29')",time,1,0,"[1, 5, 1, 0, 2, 0, 0, 0.7523160976571707, 0.563273977752648, 1.0, 0, 0, 0.19478983913517922]"
"define intent hypIntent: for group('professors') remove middlebox('parental-control'), middlebox('ids') set bandwidth('min', '60', 'mbps') block traffic('torrent'), protocol('udp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.7') add middlebox('ids'), middlebox('parental-control'), middlebox('dpi'), middlebox('firewall'), middlebox('load-balancer') set bandwidth('max', '80', 'mbps') allow traffic('peer2peer'), traffic('social-media')",domain,0,0,"[1, 4, 1, 0, 2, 0, 0, 0.0, 0, 0.0, 0.424512941502927, 0, 0]"
"define intent hypIntent: for group('labs') remove middlebox('parental-control'), middlebox('load-balancer'), middlebox('dpi'), middlebox('firewall') unset bandwidth('max', '50', 'mbps') block service('bittorrent'), service('netflix') start hour('22:15') end hour('2:40')","define intent stnIntent: for group('professors') add middlebox('dpi'), middlebox('firewall'), middlebox('load-balancer') unset quota('8', 'gb/wk') allow protocol('udp'), traffic('streaming') start hour('16:5') end hour('20:44')",path,0,0,"[1, 4, 1, 0, 3, 0, 0, 1.0, 0, 0.8388710027738039, 0, 0, 0]"
"define intent hypIntent: for group('dorms') remove middlebox('ids'), middlebox('parental-control'), middlebox('load-balancer'), middlebox('dpi') start hour('21:24') end hour('2:11')",define intent stnIntent: for group('dorms') remove middlebox('ids') start hour('16:7') end hour('20:48'),time,0,0,"[1, 5, 1, 0, 0, 1, 0, 1.0, 0, 1.0, 0, 0, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.189') remove middlebox('ids'), middlebox('firewall'), middlebox('load-balancer'), middlebox('parental-control'), middlebox('dpi') set quota('7', 'gb/wk') block protocol('udp'), service('netflix') start hour('18:24') end hour('2:21')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.41.198') add middlebox('load-balancer'), middlebox('dpi'), middlebox('parental-control'), middlebox('firewall'), middlebox('ids') unset quota('8', 'gb/wk') allow protocol('sftp'), traffic('torrent') start hour('17:4') end hour('3:32')",time,1,0,"[1, 5, 0, 0, 3, 0, 0, 0.6873444708537269, 0, 1.0, 0, 0.3216106970973719, 0]"
"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.5') add middlebox('parental-control') set bandwidth('max', '60', 'mbps') block service('vimeo'), protocol('ftp')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') remove middlebox('ids'), middlebox('firewall'), middlebox('dpi'), middlebox('load-balancer') set quota('6', 'gb/wk') allow service('bittorrent'), service('netflix')",hierarchical,0,0,"[1, 5, 1, 0, 2, 0, 1, 0.740264147665807, 0.689023003400464, 1.0, 0, 0, 0.6352196413803582]"
