university stn,university hyp,text stn,text hyp,sentence,hypothesis,prediction,contradiction
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","Currently, the University of Illinois does not have any rate limits",define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('gateway') unset bandwidth(),0,0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Guests cannot run any file sharing/downloading program,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('hosts') block service('file sharing'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",University Housing monitors only the amount of traffic of each user,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",CounterStrike server is blocked by the University firewall,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",FTP server is allowed by the University firewall,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),0,0
University of Illinois - Urbana Champaign,Rose-Hulman Institute of Technology,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Students data limit is 100 GB per week,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('100', 'gb/wk')",0,0
University of Illinois - Urbana Champaign,Columbia University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",Students 5000 Megabyte per hr download quotas are on 10 AM to Midnight,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('students') set quota('10', 'gb/d') start hour(10:00) end hour('00:00')",0,0
University of Illinois - Urbana Champaign,Rutgers University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The system passively monitors the network throughput when traffic is light,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('gateway') add middlebox('traffic monitor'),0,0
University of Illinois - Urbana Champaign,University of Illinois - Chicago,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","There is a 6 GB per 24-hour period upload or download data transfer limit, starting at midnight of each day, on all your combined traffic on ResNet and UIC wireless",define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') set quota('6', 'gb/d') start hour('00:00') end hour('23:59')",0,0
University of Illinois - Urbana Champaign,Carnegie Mellon University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","No individual service or system running on the wired/wireless network should use more than 10 gigabytes of bandwidth per day, regardless of whether it is in inbound or outbound over the commodity network link",define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for endpoint('gateway') set quota('5000', 'mb/h')",0,0
University of Illinois - Urbana Champaign,Carnegie Mellon University,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('hosts') add middlebox('overuse notification') set quota('10', 'gb/wk')",0,0
