text,recognized_entities,expected_entities,training_time,recall,precision,f1_score
Allow access from computers to DMZ,"@operation,@destination,@origin,","@operation,@origin,@destination,",0.99800705909729,1.0,1.0,1.0
Students cannot run file servers,"@operation,@service,@target,","@target,@operation,@service,",0.99800705909729,1.0,1.0,1.0
add security from entry to backend,"@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",0.99800705909729,1.0,1.0,1.0
Include parental control for PlayStation,"@target,@middlebox,@operation,","@operation,@middlebox,@target,",0.99800705909729,1.0,1.0,1.0
Set users bandwidth to 500 kbps when the 100 Gb per month quota is reached,"@qos_metric,@qos_metric,@operation,@qos_value,@qos_value,@target,@qos_unit,@qos_unit,","@operation,@target,@qos_metric,@qos_value,@qos_unit,@qos_value,@qos_unit,@qos_metric,",0.99800705909729,1.0,1.0,1.0
unblock traffic,"@traffic,@operation,","@operation,@traffic,",0.99800705909729,1.0,1.0,1.0
Grant SSH access to professors,"@operation,@protocol,@target,","@operation,@protocol,@target,",0.99800705909729,1.0,1.0,1.0
Set to 1 Gbps bandwidth limit for the traffic to DMZ,"@qos_constraint,@qos_unit,@qos_metric,@operation,@qos_value,@destination,","@operation,@qos_value,@qos_unit,@qos_metric,@qos_constraint,@destination,",0.99800705909729,1.0,1.0,1.0
"hey Lumi, add dpi to labs","@destination,@middlebox,@operation,","@operation,@middlebox,@target,",0.99800705909729,0.6666666666666666,0.6666666666666666,0.6666666666666666
"Lumi, prohibit access to internal campus computers from the internet","@operation,@origin,","@operation,@destination,@origin,",0.99800705909729,0.6666666666666666,1.0,0.8
Set quota to 10 GB per week dorms,"@operation,@qos_value,@qos_unit,@qos_metric,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",0.99800705909729,0.8,1.0,0.888888888888889
Hey Lumi please block traffic for all students,"@traffic,@operation,@target,","@operation,@traffic,@target,",0.99800705909729,1.0,1.0,1.0
Lumi monitors the network traffic,"@target,","@middlebox,@target,",0.99800705909729,0.5,1.0,0.6666666666666666
Remove load balancing from gateway to database,"@operation,@destination,@origin,@middlebox,","@operation,@middlebox,@origin,@destination,",0.99800705909729,1.0,1.0,1.0
Block all traffic from HR to the backend servers,"@traffic,@operation,@destination,@origin,","@operation,@traffic,@origin,@destination,",0.99800705909729,1.0,1.0,1.0
Deny SSH access to students,"@target,@operation,@protocol,","@operation,@protocol,@target,",0.99800705909729,1.0,1.0,1.0
Make sure all traffic from the Internet to the labs is inspected by the DPI middlebox,"@traffic,@destination,@origin,@middlebox,","@traffic,@origin,@destination,@middlebox,@middlebox,",0.99800705909729,1.0,1.0,1.0
allow all traffic,"@traffic,@operation,","@operation,@traffic,",0.99800705909729,1.0,1.0,1.0
set a maximum of 5 gbps to the servers from 4pm to 7pm,"@destination,@qos_unit,@end,@qos_metric,@start,@operation,@qos_value,","@operation,@qos_constraint,@qos_value,@qos_unit,@destination,@start,@end,",0.99800705909729,0.8571428571428571,0.8571428571428571,0.8571428571428571
"Lumi, for the guest network, limit the traffic of torrent protocol to 100 mbps","@qos_unit,@qos_value,@target,@target,@qos_constraint,","@target,@qos_constraint,@target,@qos_value,@qos_unit,",0.99800705909729,1.0,1.0,1.0
"Lumi, please install an email scanner for the gateway","@middlebox,@operation,@target,","@operation,@middlebox,@target,",0.99800705909729,1.0,1.0,1.0
Add a firewall and address translation for att and verizon,"@middlebox,@middlebox,@target,@target,","@middlebox,@middlebox,@target,@target,",0.99800705909729,1.0,1.0,1.0
