text,recognized_entities,expected_entities,training_time,recall,precision,f1_score
Add monitor for the university from 04:00 to 22:00,"@end,@middlebox,@start,@target,","@middlebox,@target,@start,@end,",1.1571099758148193,1.0,1.0,1.0
Housing does not normally limit the amount of bandwidth,"@operation,@qos_metric,","@target,@operation,@qos_metric,",1.1571099758148193,0.6666666666666666,1.0,0.8
unblock facebook traffic,"@operation,@service,","@operation,@service,",1.1571099758148193,1.0,1.0,1.0
Remove nat for gateway everyday from 18:00 to midnight,"@target,@end,@middlebox,@start,@operation,","@operation,@middlebox,@target,@start,@end,",1.1571099758148193,1.0,1.0,1.0
"please lumi, block f2movies traffic from internet to students labs","@operation,@service,@destination,@origin,","@operation,@service,@origin,@target,@target,",1.1571099758148193,0.75,0.75,0.75
students should download no more than 10 GB of data in a week,"@qos_metric,@qos_value,@target,@qos_constraint,@qos_unit,","@target,@qos_constraint,@qos_metric,@qos_value,@qos_unit,",1.1571099758148193,1.0,1.0,1.0
From university to internet add firewall,"@middlebox,@operation,@destination,@origin,","@origin,@destination,@operation,@middlebox,",1.1571099758148193,1.0,1.0,1.0
Students shall download no more than 1000000 MB per week,"@qos_metric,@qos_value,@qos_constraint,@qos_unit,","@group,@qos_constraint,@qos_metric,@qos_value,@qos_unit,",1.1571099758148193,0.8,1.0,0.888888888888889
Limit in 10 Mbps the download rate of dorms from internet,"@qos_metric,@qos_value,@origin,@qos_constraint,@qos_unit,","@qos_constraint,@qos_value,@qos_unit,@qos_metric,@destination,@origin,",1.1571099758148193,0.8333333333333334,1.0,0.9090909090909091
limit torrent traffic to 100 mbps,"@traffic,@qos_value,@qos_constraint,@qos_unit,","@qos_constraint,@traffic,@qos_value,@qos_unit,",1.1571099758148193,1.0,1.0,1.0
Students cannot run file servers,"@operation,@service,@target,","@target,@operation,@service,",1.1571099758148193,1.0,1.0,1.0
"RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network","@traffic,@operation,@target,","@origin,@operation,@target,@traffic,@destination,",1.1571099758148193,0.6,1.0,0.7499999999999999
Staff is allowed to access ftp,"@operation,@protocol,@target,","@target,@operation,@protocol,",1.1571099758148193,1.0,1.0,1.0
inspect all internet traffic,"@middlebox,@traffic,","@middlebox,@traffic,@target,",1.1571099758148193,0.6666666666666666,1.0,0.8
"Please Lumi, block streaming traffic for students and set a 10 Mbps bandwidth limit","@traffic,@operation,@operation,@qos_value,@target,@qos_unit,@qos_metric,","@operation,@traffic,@target,@operation,@qos_value,@qos_unit,@qos_metric,",1.1571099758148193,1.0,1.0,1.0
The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,"@middlebox,@qos_metric,@qos_metric,@qos_value,@target,@qos_unit,","@target,@middlebox,@qos_metric,@qos_metric,@qos_value,@qos_unit,",1.1571099758148193,1.0,1.0,1.0
Set to 1 Gbps bandwidth limit for the traffic to DMZ,"@qos_metric,@operation,@qos_value,@destination,@qos_constraint,@qos_unit,","@operation,@qos_value,@qos_unit,@qos_metric,@qos_constraint,@destination,",1.1571099758148193,1.0,1.0,1.0
The system passively monitors the network throughput when traffic is light,"@target,@middlebox,","@middlebox,@target,",1.1571099758148193,1.0,1.0,1.0
Setup a packet filter for guests traffic,"@operation,@target,@middlebox,","@operation,@middlebox,@target,",1.1571099758148193,1.0,1.0,1.0
Block F2movies traffic from Internet to student Labs,"@destination,@origin,@operation,@service,","@operation,@service,@origin,@destination,",1.1571099758148193,1.0,1.0,1.0
Prioritize Netflix traffic from 18:00 to midnight,"@end,@start,@service,","@middlebox,@service,@start,@end,",1.1571099758148193,0.75,1.0,0.8571428571428571
"hey Lumi, add dpi to labs","@middlebox,@operation,@target,","@operation,@middlebox,@target,",1.1571099758148193,1.0,1.0,1.0
make sure all traffic to server racks is throttled to 1 gbps from 4pm to 9pm,"@qos_unit,@end,@start,@traffic,@qos_value,@destination,@qos_constraint,","@traffic,@destination,@qos_constraint,@qos_value,@qos_unit,@start,@end,",1.1571099758148193,1.0,1.0,1.0
Make sure all traffic from the Internet to the labs is inspected by the DPI middlebox,"@traffic,@destination,@origin,@middlebox,","@traffic,@origin,@destination,@middlebox,@middlebox,",1.1571099758148193,1.0,1.0,1.0
Block traffic from netflix,"@operation,@target,","@operation,@target,",1.1571099758148193,1.0,1.0,1.0
"Lumi, prohibit access to internal campus computers from the internet","@operation,@origin,","@operation,@destination,@origin,",1.1571099758148193,0.6666666666666666,1.0,0.8
"Please, Lumi, block Youtube and all other streaming traffic","@service,@traffic,@operation,","@operation,@service,@traffic,",1.1571099758148193,1.0,1.0,1.0
Please add traffic shaper between the internet and the dorms,"@middlebox,@destination,@origin,","@middlebox,@origin,@destination,",1.1571099758148193,1.0,1.0,1.0
Grant SFTP access to all students from 08:00 to 17:00,"@operation,@protocol,@target,@end,@start,","@operation,@protocol,@target,@start,@end,",1.1571099758148193,1.0,1.0,1.0
block traffic of the server racks,"@traffic,@operation,@target,","@operation,@traffic,@target,",1.1571099758148193,1.0,1.0,1.0
Define a quota of 10 GB per week for all students,"@qos_metric,@operation,@qos_value,@target,@qos_unit,","@operation,@qos_metric,@qos_value,@qos_unit,@target,",1.1571099758148193,1.0,1.0,1.0
