repeat,feedback_round,text,recognized_entities,expected_entities,tp,fp,fn,recall,precision,f1_score
0,0,We provide a quota to all students of 1 GB/wk of usage.,"@qos_value,@target,@qos_unit,@qos_metric,","@qos_metric,@target,@qos_value,@qos_unit,",4,0,0,1.0,1.0,1.0
0,1,limit the bandwidth rate of the server racks to 5 gbps from 4pm to 7pm,"@start,@qos_metric,@qos_value,@target,@qos_constraint,@qos_unit,@end,","@qos_constraint,@qos_metric,@target,@qos_value,@qos_unit,@start,@end,",7,0,0,1.0,1.0,1.0
0,2,AIM chat and file transfering is allowed by the University firewall,"@operation,@service,@service,@target,@middlebox,","@service,@service,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
0,3,Set users bandwidth to 500 kbps when the 100 Gb per month quota is reached,"@qos_metric,@qos_metric,@operation,@qos_value,@qos_value,@qos_unit,@qos_unit,","@operation,@target,@qos_metric,@qos_value,@qos_unit,@qos_value,@qos_unit,@qos_metric,",4,0,1,0.8,1.0,0.888888888888889
0,4,"Hey Lumi, add DPI to the labs network","@target,@middlebox,@operation,","@operation,@middlebox,@target,",3,0,0,1.0,1.0,1.0
0,5,block F2movies traffic for students in the labs,"@operation,@service,@target,@target,","@operation,@service,@target,@target,",3,0,0,1.0,1.0,1.0
0,6,"Elements of network security currently include the following four solutions: Network Border Infrastructure System, Intrusion Prevention System, Firewalls and Custom Unit Firewalls","@middlebox,@middlebox,@middlebox,@middlebox,@operation,","@target,@operation,@middlebox,@middlebox,@middlebox,@middlebox,",2,0,1,0.6666666666666666,1.0,0.8
0,7,"RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network","@traffic,@operation,@target,","@origin,@operation,@target,@traffic,@destination,",3,0,2,0.6,1.0,0.7499999999999999
0,8,add dpi to labs network,"@operation,@target,@middlebox,","@operation,@middlebox,@destination,@target,",3,0,1,0.75,1.0,0.8571428571428571
0,9,Remove load balancing from gateway to database,"@middlebox,@operation,@destination,@origin,","@operation,@middlebox,@origin,@destination,",4,0,0,1.0,1.0,1.0
0,10,Limit in 10 Mbps the download rate of dorms from internet,"@qos_metric,@qos_value,@origin,@qos_constraint,@qos_unit,","@qos_constraint,@qos_value,@qos_unit,@qos_metric,@destination,@origin,",5,0,1,0.8333333333333334,1.0,0.9090909090909091
0,11,"Currently, the University of Illinois does not have any rate limits set in place","@qos_metric,@operation,@target,","@target,@operation,@qos_metric,",3,0,0,1.0,1.0,1.0
0,12,Limit traffic to 10 GB per week at Dorms,"@traffic,@qos_value,@target,@qos_constraint,@qos_unit,","@qos_constraint,@traffic,@qos_value,@qos_unit,@target,",5,0,0,1.0,1.0,1.0
0,13,"Please, block netflix traffic on PUC","@operation,@service,@target,","@operation,@service,@target,",3,0,0,1.0,1.0,1.0
0,14,"hey Lumi, add dpi to labs","@target,@middlebox,@operation,","@operation,@middlebox,@target,",3,0,0,1.0,1.0,1.0
0,15,The individual will have a 4 Mbps bandwidth rate limit,"@operation,@qos_value,@target,@qos_unit,@qos_metric,","@target,@operation,@qos_value,@qos_unit,@qos_metric,",5,0,0,1.0,1.0,1.0
0,16,set a 10 GB per week download quota for students in dorms,"@qos_metric,@operation,@qos_value,@target,@target,@qos_constraint,@qos_unit,","@operation,@qos_value,@qos_unit,@qos_constraint,@qos_metric,@target,@target,",6,0,0,1.0,1.0,1.0
0,17,Students cannot run file servers,"@operation,@service,@target,","@target,@operation,@service,",3,0,0,1.0,1.0,1.0
0,18,The system passively monitors the network throughput when traffic is light,"@qos_metric,@target,","@middlebox,@target,",1,1,1,0.5,0.5,0.5
0,19,"Lumi, please unblock all torrent traffic","@traffic,@operation,","@operation,@traffic,",2,0,0,1.0,1.0,1.0
0,20,POP3 and secure POP are allowed by the University firewall,"@middlebox,@operation,@protocol,@protocol,@target,","@protocol,@protocol,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
0,21,Limit servers to 5gbps during 5pm to 7pm,"@qos_constraint,@qos_unit,@end,@start,@qos_value,","@qos_constraint,@target,@qos_value,@qos_unit,@start,@end,",5,0,1,0.8333333333333334,1.0,0.9090909090909091
0,22,Increase the bandwidth consumption limit for professors to 100 Mbps,"@operation,@qos_value,@target,@qos_unit,@qos_metric,","@operation,@qos_metric,@target,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
0,23,"Please Lumi, block streaming traffic for students and set a 10 Mbps bandwidth limit","@qos_metric,@traffic,@operation,@operation,@qos_value,@target,@qos_unit,","@operation,@traffic,@target,@operation,@qos_value,@qos_unit,@qos_metric,",6,0,0,1.0,1.0,1.0
0,24,block all traffic,"@traffic,@operation,","@operation,@traffic,",2,0,0,1.0,1.0,1.0
0,25,"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail servers on ResNet or UIC wireless-connected devices","@protocol,@protocol,@protocol,@protocol,@service,@service,@service,@traffic,@operation,","@operation,@protocol,@protocol,@traffic,@protocol,@service,@protocol,@service,@target,@target,",4,0,1,0.8,1.0,0.888888888888889
0,26,We provide a quota to all students of 1 GB per week of usage,"@qos_unit,@qos_metric,@operation,@qos_value,@target,","@operation,@qos_metric,@target,@qos_value,@qos_unit,",5,0,0,1.0,1.0,1.0
0,27,block all student traffic in the network,"@traffic,@operation,@target,@target,","@operation,@target,@traffic,@target,",3,0,0,1.0,1.0,1.0
0,28,Do no let students access Netflix from the laboratories to the internet,"@destination,@target,@origin,@operation,@service,","@operation,@target,@service,@origin,@destination,",5,0,0,1.0,1.0,1.0
0,29,limit traffic to 5Gbps  Between internet and servers for 16:00 to 19:00,"@end,@start,@traffic,@qos_value,@destination,@origin,@qos_constraint,@qos_unit,","@qos_constraint,@traffic,@qos_value,@qos_unit,@origin,@destination,@start,@end,",8,0,0,1.0,1.0,1.0
0,30,H323 video conferencing is allowed by the University firewall,"@operation,@service,@target,@middlebox,","@service,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
0,31,"Lumi, set to 10 kbps the upload rate for faculty","@qos_metric,@operation,@qos_value,@target,@qos_unit,","@operation,@qos_value,@qos_unit,@qos_metric,@target,",5,0,0,1.0,1.0,1.0
0,32,IMAP and secure IMAP are allowed by the University firewall,"@target,@middlebox,@operation,@protocol,@protocol,","@protocol,@protocol,@operation,@target,@middlebox,",4,0,0,1.0,1.0,1.0
0,33,"Lumi, block SIP traffic from 19:00 to 08:00 for dorms","@start,@operation,@protocol,@target,@end,","@operation,@protocol,@start,@end,@target,",5,0,0,1.0,1.0,1.0
0,34,"You may not run any services (e.g., FTP services,listservers,P2P file sharing servers, publishing files via generic file services, etc.) via ResNet or NYURoam wireless networks","@operation,@protocol,@protocol,@protocol,@protocol,@service,@service,@service,@target,@qos_metric,","@operation,@protocol,@service,@traffic,@target,@target,",4,1,1,0.8,0.8,0.8000000000000002
0,35,Guests' network is rate-limited to 5 Mb/s per user,"@target,@qos_unit,@qos_metric,@qos_value,","@target,@qos_metric,@qos_value,@qos_unit,",4,0,0,1.0,1.0,1.0
0,36,The UC Davis network is continually scanned for prohibited activities and network threats.,"@destination,","@target,@middlebox,",0,1,2,0.0,0.0,0.0
0,37,Block traffic from netflix,"@traffic,@operation,@target,","@operation,@target,",2,1,0,1.0,0.6666666666666666,0.8
0,38,"The network firewall does prevent some applications from working in their normal manner, for example, video and audio conferencing products that use the H.323","@middlebox,@operation,@service,@service,@service,@target,","@target,@operation,@service,",3,1,0,1.0,0.75,0.8571428571428571
0,39,please do not let any music streaming in the network,"@target,@traffic,@operation,","@operation,@traffic,@target,",3,0,0,1.0,1.0,1.0
0,40,limit the bandwidth to 5Gb for rack servers from 4 pm until 7 pm,"@qos_value,@qos_constraint,@qos_unit,@end,@qos_metric,@start,","@qos_constraint,@qos_metric,@qos_value,@qos_unit,@target,@start,@end,",6,0,1,0.8571428571428571,1.0,0.923076923076923
0,41,Add inspection for the university from 10pm to 12pm,"@operation,@target,@end,@middlebox,@start,","@operation,@middlebox,@target,@start,@end,",5,0,0,1.0,1.0,1.0
0,42,prevent all f2movies traffic from reaching the students in the labs,"@service,@target,@target,@operation,","@operation,@service,@target,@target,",3,0,0,1.0,1.0,1.0
0,43,Add intrusion detection and address translation for servers network,"@target,@middlebox,@middlebox,@operation,","@operation,@middlebox,@middlebox,@target,",3,0,0,1.0,1.0,1.0
0,44,Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hr upload,"@qos_metric,@qos_value,@qos_value,@target,@qos_constraint,@qos_constraint,@qos_unit,","@qos_metric,@target,@qos_value,@qos_unit,@qos_constraint,@qos_value,@qos_constraint,",5,0,0,1.0,1.0,1.0
0,45,please remove DPI from DMZ starting at 6am until 9pm,"@start,@operation,@target,@end,@middlebox,","@operation,@middlebox,@target,@start,@end,",5,0,0,1.0,1.0,1.0
