text,recognized_entities,training_time,recall,precision,f1_score
From gateway to my network remove nat,"@origin,@operation,@destination,@middlebox,",46.252097845077515,1.0,1.0,1.0
Add traffic monitor from PUC to UFRGS,"@origin,@operation,@destination,@middlebox,",46.252097845077515,1.0,1.0,1.0
Please add traffic shaper between the internet and the dorms,"@origin,@destination,@middlebox,",46.252097845077515,1.0,1.0,1.0
Dismiss all rate limits and quotas for all hosts,"@operation,@qos_metric,@target,",46.252097845077515,1.0,1.0,1.0
Staff is allowed to access ftp,"@operation,@protocol,@target,",46.252097845077515,1.0,1.0,1.0
From gateway to network add middlebox firewall,"@origin,@operation,@destination,@middlebox,",46.252097845077515,1.0,1.0,1.0
Remove load balancing from gateway  to database,"@origin,@operation,@destination,@middlebox,",46.252097845077515,1.0,1.0,1.0
From my house to PUCRS add middlebox dpi,"@origin,@operation,@destination,@middlebox,",46.252097845077515,1.0,1.0,1.0
Do not let Staff members access any social media,"@operation,@traffic,@target,",46.252097845077515,1.0,1.0,1.0
add shaping for gateway everyday from 18:00 to midnight,"@start,@end,@target,@middlebox,",46.252097845077515,1.0,0.75,0.8571428571428571
Add inspection for the university from 22:00 to 12:00,"@start,@operation,@end,@target,@middlebox,",46.252097845077515,1.0,0.8,0.888888888888889
Block traffic from netflix to my house,"@origin,@operation,@destination,",46.252097845077515,1.0,1.0,1.0
