sentence,hypothesis,features,amibiguity
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') add middlebox('unit firewall'), middlebox('ids')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.34') remove middlebox('ids'), middlebox('ips')","[5, 1, 1440.0, 1, 0, 1, 0, 2.2083164359413363, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.810983405834345, 4]",1
"define intent stnIntent: for group('dorms') set bandwidth('min', '60', 'mbps')","define intent hypIntent: for group('dorms') unset quota('download', '9', 'gb/wk')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('min', '50', 'mbps')","define intent hypIntent: for group('scholarly person') set bandwidth('max', '20', 'mbps')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') add middlebox('unit firewall') start hour('05:40') end hour('09:30'),"define intent hypIntent: for group('students') remove middlebox('ips'), middlebox('unit firewall') start hour('16:00') end hour('17:20')","[5, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.2613951631397162, 3]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.36'),"[5, 1, 1440.0, 0, 0, 1, 0, 2.2353804458129867, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') allow service('irc') traffic('H323 video conferencing'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') block protocol('nat'), protocol('dns') add middlebox('firewall')","[2, 1, 1440.0, 1, 0, 0, 0, 4.0, 4, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.6'),"[5, 1, 1440.0, 0, 0, 1, 0, 2.876672075130216, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') allow service('Sony Playstation 2') traffic('file sharing'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.81') allow service('Everquest') traffic('peer2peer'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.497293782720254, 4, 0.4662866460240692, 2, 0, 0, 0.5046808235937003, 2, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') set quota('any', '9', 'gb/wk')","define intent hypIntent: for group('students') set quota('upload', '5', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('max', '20', 'mbps')",define intent stnIntent: for group('guests') add middlebox('overuse notification'),"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1]",0
